পরিগণনামূলক	40
আয়োডাইড	40
জীবভৌগোলিক	5
তারকামণ্ডল	4
ইট্রিয়াম	36
প্লান্টারাম	3
অঙ্গসংস্থানবিদ্যা	3
অতিনবতারা	3
তড়িৎচুম্বকত্বের	10
বোলৎসমান	11
ঘনমাত্রা	40
অ্যাক্টিনাইড	26
অ্যাডেনিন	9
ঔষধবিজ্ঞান	16
কেলাসবিজ্ঞান	5
হাইপোক্লোরাইট	31
ডাইক্রোমেট	8
সালফাইট	10
নাইওবিয়াম	2
আইইউপিএসি	11
অনুলিপন	2
বংশাণুবিজ্ঞান	2
জীবমণ্ডল	2
তড়িৎকোষ	19
বংশাণুসমগ্র	2
কালপঞ্জি	2
গোল্ডবাখ	2
গ্যোডেল	2
সংলক্ষণ	2
আক্রান্তপ্রবণতা	2
ইন্টারসেক্স	2
ক্লিটোরাল	2
বিষমতারা	2
তমোপদার্থ	9
বরোবুদুর	2
সাইবারসেক্স	2
দর্শনশক্তি	2
রিসলভড	1
ফটোএমিশন	1
অতিপরিবাহিতা	7
অপভূ	1
অ্যাংস্ট্রম	12
আভোগাদ্রো	8
ইলেকট্রোসিরামিক্স	1
সুপারকন্ডাক্টিং	6
গতিতত্ত্ব	5
ঘনপদার্থবিজ্ঞান	1
জৈবিকভর	5
টিটিয়ুস	1
ডিউটেরিয়াম	7
তরঙ্গমুখ	21
তাপগতিবিজ্ঞান	14
শূন্যতম	9
নিউক্লাইড	17
পয়সনের	10
প্যারাচৌম্বক	1
ফাইভলিং	11
ফার্মিয়ন	35
ফেরোচৌম্বক	6
বোলট্জম্যান	1
লরেন্টজ	40
লেকল্যান্স	1
শব্দবিজ্ঞান	6
বোলজম্যান	1
হীরকাঙ্গুরী	1
প্ল্যাংকের	19
ফাইনম্যান	16
ফোটোনিক্স	13
বহুভাঁজ	1
ইন্টারফেরোমিটার	6
সঞ্চারপথ	5
তড়িৎকোষের	1
অ্যাসিম্পটোটিক	25
ভেদাংকভিত্তিক	1
টেন্সর	17
তড়িৎচুম্বকত্ব	11
তড়িৎবল	1
অসমোটিক	14
অ্যাভোগাড্রো	24
অ্যাভোগাড্রোর	7
কপলি	6
তড়িৎচুম্বকীয়	40
অরনিথিন	11
অলিগোমাইসিন	7
অ্যাডিপিক	6
অ্যালকাইন	9
অ্যালিফ্যাটিক	9
আইসোটোন	1
ইউটেকটিক	40
কার্কেন্ডাল	15
ক্রিপ্টন	40
ক্লোরোফরম	1
জ্যোতিঃরসায়ন	7
ট্রাইনাইট্রোটলুইন	5
ডাইনাইট্রোজেন	1
পেন্টাঅক্সাইড	1
ঋণাত্মকতা	32
ধাতুকল্প	6
নিকোটিনামাইড	1
ডাইনিউক্লিয়টাইড	1
ন্যানোরসায়ন	11
পেট্রোরাসায়নিক	8
এডসর্পশান	1
ফসফাটেজ	7
মনোক্যালসিয়াম	1
রাউল্টের	7
শাতলিয়ে	15
সমাণুতা	37
সায়ানোজেন	12
ট্রাইঅক্সাইড	27
স্টেরিওরসায়ন	7
হাইপারভ্যালেন্ট	1
টেট্রোক্সাইড	7
অ্যামেরিসিয়াম	1
গ্যাডোলিনিয়াম	14
সাবঅক্সাইড	1
সেসক্যুইঅক্সাইড	1
আন্তঃহ্যালোজেন	1
মনোআয়োডাইড	1
পারআয়োডেট	1
অক্সোঅ্যাসিড	1
ফ্লোরোঅ্যান্টিমনিক	1
এলুমিনেট	1
ফ্লুরাইড	1
ব্রোমেট	5
পারমাণবিকতা	1
ফ্লোরিন	15
হাইড্রোআয়োডিক	1
হাইড্রোনিয়াম	10
অ্যামলোডিপিন	1
গুয়ানামিন	1
টিনোরফিন	1
এসিক্লোফেনাক	1
লিভোসেটিরিজিন	1
সেটিরিজিন	1
হিস্টেরেসিস	1
অধিশোষণ	1
দশাচিত্র	1
নাইটিনল	1
গ্লুটামিক	1
হিনোকিটিওল	1
অলিগোনিউক্লিওটাইড	1
উইনোগ্রাডস্কি	1
জিনএক্সপার্ট	1
ইলেক্ট্রোফোরেসিস	1
পলিমারেজ	1
উভধর্মী	1
তাপগতীয়	40
জলাকর্ষী	1
মিশ্রণীয়তা	1
মিশ্রায়ন	1
আন্তঃঅবস্থান্তর	1
চ্যালকোজেন	1
নিক্টোজেন	1
মৃৎক্ষার	1
বাইফিনাইল	1
অ্যাসিটানিলাইড	1
থায়োসায়ানেট	10
ফেরিসায়ানাইড	1
অ্যাক্টিনিয়াম	11
অ্যাস্টাটিন	5
আইনস্টাইনিয়াম	13
আনইউনেনিয়াম	1
আনবিবিয়াম	1
ইটারবিয়াম	15
কোপার্নিসিয়াম	1
গ্যাডালিনিয়াম	1
জিরকোনিয়াম	29
টেকনিশিয়াম	1
টেলুরিয়াম	24
ট্যানটালাম	1
ডার্মস্টাটিয়াম	1
ডিসপ্রোসিয়াম	1
ডুবনিয়াম	1
নিওডিমিয়াম	1
নিহোনিয়াম	1
নোবেলিয়াম	1
পোলোনিয়াম	8
প্যালেডিয়াম	1
প্রমিথিয়াম	15
প্রাসিওডিমিয়াম	1
প্রোটেক্টিনিয়াম	1
ফ্রান্সিয়াম	12
ফ্লেরোভিয়াম	1
বার্কিলিয়াম	1
দস্তালেপন	1
বোহরিয়াম	1
ভ্যানাডিয়াম	21
মস্কোভিয়াম	1
মাইটনেরিয়াম	1
মেন্ডেলেভিয়াম	1
রন্টজেনিয়াম	1
রাদারফোর্ডিয়াম	1
রুথিনিয়াম	6
রুবিডিয়াম	15
রোডিয়াম	14
লরেনসিয়াম	5
লিভারমোরিয়াম	1
লুটেশিয়াম	6
সামেরিয়াম	14
স্ক্যানডিয়াম	6
অরসিনোল	1
অ্যালকাইল	15
অ্যালামেথিসিন	1
পেন্টক্সাইড	1
