এবং	2883
হয়	2258
করে	2141
এই	1810
করা	1453
একটি	1434
থেকে	1332
জন্য	962
করেন	889
মধ্যে	825
এর	818
বা	801
ছিল	713
তিনি	707
সালে	681
তার	646
বাংলা	598
হয়েছে	594
হিসেবে	581
যা	568
না	547
রয়েছে	517
হয়ে	514
যে	503
প্রথম	484
বাংলাদেশের	479
এটি	463
যায়	451
সালের	440
বাংলাদেশ	427
তবে	427
করতে	426
বিভিন্ন	424
সময়	402
সাথে	401
এক	391
পর	388
ভারতের	381
প্রায়	381
তাদের	378
শেখ	370
করার	369
হলো	364
নিয়ে	363
থাকে	361
প্রধান	348
মাধ্যমে	340
কিছু	340
শুরু	329
সঙ্গে	327
পারে	321
জাতীয়	313
অনেক	298
পূর্ব	297
ছিলেন	293
নামে	290
পর্যন্ত	289
অন্যান্য	287
তারা	282
বেশি	277
বছর	272
মুসলিম	270
ফলে	267
হয়েছিল	264
হল	264
দক্ষিণ	263
শিক্ষা	258
ঢাকা	255
কোনো	255
একজন	254
আরও	253
হবে	253
সরকার	252
ভারতীয়	244
ইসলামী	243
বিশেষ	241
দেশের	240
কিন্তু	237
বড়	236
বলে	233
যেমন	232
নতুন	232
গুরুত্বপূর্ণ	226
মতো	225
আর	223
প্রতি	222
তা	222
করেছিলেন	222
কাজ	222
কলকাতা	222
দেখা	221
হতে	221
ইসলামের	218
ভারত	217
খ্রিষ্টাব্দের	214
বাংলার	213
যার	210
পরিচিত	207
পাকিস্তানের	203
অংশ	201
তৈরি	201
উপর	199
ব্যবহার	198
দেওয়া	198
দিয়ে	197
সেই	197
পাকিস্তান	195
ভাষা	195
করেছে	195
বলা	195
অবস্থিত	194
দ্বারা	194
ইসলাম	192
নয়	192
ধর্মীয়	191
মানুষের	190
বিশ্বাস	190
আল	187
রাজনৈতিক	186
অনুযায়ী	186
আন্তর্জাতিক	185
সবচেয়ে	185
জলবায়ু	185
হচ্ছে	185
দিন	184
কারণে	182
ক্ষেত্রে	181
সে	178
দেয়	175
অন্যতম	175
আছে	174
বিশ্বের	172
হন	172
খ্রিষ্টাব্দে	172
হিসাবে	170
মনে	170
