ং	অংশ	89	ongsh	TOP1	অংশ
ং	অংশগ্রহণ	81	ongshogrohon	TOP1	অংশগ্রহণ
ং	অংশে	82	ongshe	TOP1	অংশে
ং	অধিকাংশ	83	odhikangsh	TOP1	অধিকাংশ
ং	অসংখ্য	82	osongkhy	TOP1	অসংখ্য
ং	ইংরেজ	85	ingrej	TOP1	ইংরেজ
ং	ইংরেজি	86	ingreji	TOP1	ইংরেজি
ং	ইংল্যান্ড	82	inglyand	TOP1	ইংল্যান্ড
ং	এবং	99	ebong	TOP1	এবং
ং	কিংবা	84	kingba	TOP1	কিংবা
ং	জনসংখ্যা	87	jonosongkhya	TOP1	জনসংখ্যা
ং	জনসংখ্যার	86	jonosongkhyar	TOP1	জনসংখ্যার
ং	জাতিসংঘ	81	jatisonggh	TOP1	জাতিসংঘ
ং	জাতিসংঘের	82	jatisonggher	TOP1	জাতিসংঘের
ং	ধ্বংস	84	dhbongs	TOP1	ধ্বংস
ং	নং	83	nong	TOP1	নং
ং	পুং	82	pung	TOP1	পুং
ং	প্রথমাংশ	83	prothomangsh	TOP1	প্রথমাংশ
ং	প্রশংসা	81	proshongsa	TOP1	প্রশংসা
ং	বংশোদ্ভূত	82	bongshodbhuut	TOP1	বংশোদ্ভূত
ং	বরং	85	borong	TOP1	বরং
ং	বহিঃসংযোগ	86	bohissongzog	TOP1	বহিঃসংযোগ
ং	বাংলা	89	bangla	TOP1	বাংলা
ং	বাংলাদেশ	90	bangladesh	TOP1	বাংলাদেশ
ং	বাংলাদেশি	81	bangladeshi	TOP1	বাংলাদেশি
ং	বাংলাদেশী	84	bangladeshii	TOP1	বাংলাদেশী
ং	বাংলাদেশে	84	bangladeshe	TOP1	বাংলাদেশে
ং	বাংলাদেশের	90	bangladesher	TOP1	বাংলাদেশের
ং	বাংলার	84	banglar	TOP1	বাংলার
ং	বাংলায়	81	banglay	TOP1	বাংলায়
ং	ব্যাংক	85	byangk	TOP1	ব্যাংক
ং	ব্যাংকের	81	byangker	TOP1	ব্যাংকের
ং	মাংস	81	mangs	TOP1	মাংস
ং	ময়মনসিংহ	82	moyomonosingh	TOP1	ময়মনসিংহ
ং	রং	82	rong	TOP1	রং
ং	রংপুর	81	rongpur	TOP1	রংপুর
ং	শতাংশ	85	shotangsh	TOP1	শতাংশ
ং	শেষাংশ	83	sheshangsh	TOP1	শেষাংশ
ং	সংক্রান্ত	82	songkrant	TOP1	সংক্রান্ত
ং	সংখ্যা	87	songkhya	TOP1	সংখ্যা
